artifact_type,artifact,family,layout_grid,scroll_axis,visual_hierarchy,interactive_module,density
pattern,hero-commerce,Hero,full split 58/42,vertical,image → headline → CTA,buttons,high
pattern,hero-media-text,Hero,asymmetric media-right 58/42,vertical,eyebrow → headline → price → CTA,buttons + price,medium
pattern,hero-cover-short,Hero,full-bleed centered,vertical,headline alone,single button,low
pattern,hero-stack-copy,Hero,single column constrained,vertical,eyebrow → headline → claim list → CTA,list + buttons,medium-high
pattern,trust-bar,Trust,4-equal columns,vertical,promise → proof,none,medium
pattern,trust-stats,Trust,3-equal columns dark,vertical,number → caption,separator,medium-high
pattern,trust-guarantee,Trust,media-left 45/55,vertical,headline → paragraph → note → CTA,buttons,medium
pattern,trust-check-list,Trust,split 55/45 + cover,vertical,"headline → checklist, panel → CTA",list + button,medium-high
pattern,product-grid,Product,query loop 4-up,vertical,title → cards → price,query + add-to-cart,high
pattern,carousel-showcase,Product,horizontal snap rail,horizontal,eyebrow → headline → cards → progress,carousel controls,medium
pattern,product-feature-podium,Product,sticky media 55/45,vertical,product → price → sizes → CTA,size nav + button,high
pattern,product-editorial-grid,Product,mixed 58/42 vertical stack,vertical,headline → hero item → supporting cuts,link cards,medium-high
pattern,feature-bento,Editorial,asymmetric bento grid,vertical,headline → feature tiles,links,high
pattern,sticky-scroll-story,Editorial,pinned left + chapters,vertical,chapter number → heading → copy,none,medium
pattern,editorial-timeline,Editorial,single column + separators,vertical,label → headline → years → closing note,none,medium-high
pattern,editorial-quote-strip,Editorial,full-bleed centered quote,vertical,quote alone,none,low
pattern,testimonials-scroller,Social,horizontal snap quotes,horizontal,headline → quotes → controls,carousel controls,medium
pattern,social-proof-meters,Social,split 45/55 score + bars,vertical,score → distribution,meter bars,medium-high
pattern,reviews-compact,Social,3-equal quote columns,vertical,stars → quote → name,quote cards,medium
pattern,case-study-quote,Social,media-right 58/42,vertical,label → pull line → supporting copy → CTA,buttons,medium
pattern,cta-banner,Conversion,full-bleed centered cover,vertical,headline → CTA,single button,low
pattern,cta-split-panel,Conversion,split 55/45 image-right,vertical,promise → headline → CTA,image + button,medium
pattern,cta-inline-band,Conversion,single horizontal row,none,headline → action,single nav link,low
pattern,cta-countdown,Conversion,split 50/50 copy + countdown,vertical,headline → timing units → CTA,list + button,medium-high
pattern,faq-accordion,Support,single column accordion,vertical,question → answer,accordion,medium-high
pattern,support-tiles,Support,3-equal cards,vertical,title → description → CTA,card buttons,medium-high
pattern,support-steps,Support,single column numbered,vertical,headline → steps → CTA,list + button,medium
pattern,help-contact-split,Support,split 38/62 links + form,vertical,"title → links, form",form + nav,high
pattern,marquee-logos,Discovery,horizontal marquee track,horizontal,logos only,marquee pause,low
pattern,category-tiles,Discovery,4-equal cover tiles,vertical,headline → category,whole-tile cover,medium-high
pattern,quick-links-list,Discovery,2-column nav list,vertical,headline → links,nav,medium
pattern,breadcrumb-map,Discovery,path strip + horizontal image rail,horizontal,path → destination images,snap rail,medium
pattern,newsletter-signup,Newsletter,single column form,vertical,headline → fields → CTA,form + consent,medium-high
pattern,newsletter-hero,Newsletter,full-bleed centered form,vertical,headline → form,form,medium
pattern,newsletter-cards,Newsletter,3 cards + action,vertical,headline → benefit cards → CTA,card buttons,medium-high
pattern,newsletter-confirm,Newsletter,centered low-density card,vertical,check → headline → paragraph → CTA,single button,low
